[2026-06-14T10:35:58.261Z] GET http://localhost:4193/?v=2 → 200 (5ms, 5062B)
[2026-06-14T10:35:58.271Z] GET http://localhost:4193/fonts/WT_Kormelink_Italic.woff2 → 200 (18ms, 67772B)
[2026-06-14T10:35:58.271Z] GET http://localhost:4193/fonts/WT_Kormelink_Roman.woff2 → 200 (19ms, 44604B)
[2026-06-14T10:35:58.271Z] GET http://localhost:4193/fonts/Knockout.woff2 → 200 (19ms, 20633B)
[2026-06-14T10:35:58.271Z] GET http://localhost:4193/fonts/SangBleuOGSans-Light.woff2 → 200 (19ms, 26980B)
[2026-06-14T10:35:58.271Z] GET http://localhost:4193/styles.css → 200 (3ms, 9617B)
[2026-06-14T10:35:58.271Z] GET http://localhost:4193/app.js → 200 (4ms, 13038B)
[2026-06-14T10:35:58.289Z] GET http://localhost:4193/images/cursor-arrow.svg → 200 (1ms, 403B)
[2026-06-14T10:35:58.289Z] GET https://images.prismic.io/quarry-house/7afb62d4-7906-4367-801f-625cb6cff6fd_QUARRY_+Kitchen_final-min-min.jpg?auto=compress,format&rect=0,0,2048,1365&w=1100&h=1375&fit=crop → pending (?ms, ?B)
[2026-06-14T10:35:58.289Z] GET https://images.prismic.io/quarry-house/65f0b482-a242-401f-8e0d-51f6a962546f_QUARRY_Living+room_final-min-min.jpg?auto=compress,format&rect=0,0,2048,1365&w=1100&h=1375&fit=crop → pending (?ms, ?B)
[2026-06-14T10:35:58.289Z] GET https://images.prismic.io/quarry-house/b0f527ae-bb1d-4778-be71-46a145440b64_QUARRY_Store+room+1_final_2-min-min.jpg?auto=compress,format&rect=0,0,2048,1365&w=1100&h=1375&fit=crop → pending (?ms, ?B)
[2026-06-14T10:35:58.289Z] GET https://images.prismic.io/quarry-house/3cb49b3d-b9fc-42fe-af1e-4c1f5762a33e_QUARRY_Exterior_final-min-min.jpg?auto=compress,format&rect=0,0,2048,1365&w=1100&h=1375&fit=crop → pending (?ms, ?B)
[2026-06-14T10:35:58.289Z] GET https://images.prismic.io/quarry-house/b94fa754-ad0b-41f5-872f-7e62b051ffae_QUARRY_Store+room+2_final_3-min-min.jpg?auto=compress,format&rect=0,0,2048,1365&w=1100&h=1375&fit=crop → pending (?ms, ?B)
